"SYMBOL" "ENTREZID"
"PRPS1" "5631"
"NTNG1" "22854"
"FAAHP1" "729041"
"TRPC5" "7224"
"MYCBP" "26292"
"LOC728989" "728989"
"NCMAP" "400746"
"NXF5" "55998"
"GABRE" "2564"
"BEX5" "340542"
"CSAG1" "158511"
"FRMD8P1" "83957"
"ZNF648" "127665"
"NXT2" "55916"
"LCE2C" "353140"
"KAZN" "23254"
"LINC01142" "284688"
"CD53" "963"
"RYR2" "6262"
"TSSK3" "81629"
"FCER1A" "2205"
"AKAP4" "8852"
"KLHDC7A" "127707"
"CD164L2" "388611"
"BEX1" "55859"
"SLC7A3" "84889"
"ZCCHC18" "644353"
"ITLN2" "142683"
"HEYL" "26508"
"LPAR4" "2846"
"OR13H1" "347468"
"LCE4A" "199834"
"OMA1" "115209"
"MIR384" "494333"
"ZYG11A" "440590"
"SOX3" "6658"
"FMO9P" "116123"
"TSHB" "7252"
"C1orf115" "79762"
"NAP1L6" "645996"
"FCRL3" "115352"
"NBPF3" "84224"
"OR2M1P" "388762"
"MIR4666A" "100616308"
"AADACL3" "126767"
"OR2M4" "26245"
"EPHX1" "2052"
"TCEA3" "6920"
"NR5A2" "2494"
"OR2G2" "81470"
"SRD5A1P1" "6719"
"SGIP1" "84251"
"DESI2" "51029"
"IL6R" "3570"
"PLD5" "200150"
"SH3D21" "79729"
"TMSB15A" "11013"
"TCEAL2" "140597"
"AHDC1" "27245"
"MAP1LC3C" "440738"
"MEX3A" "92312"
"ARF1" "375"
"A3GALT2" "127550"
"VCX3A" "51481"
"OR2M2" "391194"
"PRPS2" "5634"
"IRF6" "3664"
"EFNA1" "1942"
"L1TD1" "54596"
"MIR888" "100126306"
"BSDC1" "55108"
"FAM46D" "169966"
"CYP4Z1" "199974"
"MOB3C" "148932"
"MIR4427" "100616390"
"MTMR8" "55613"
"FCRL5" "83416"
"LINC00624" "100289211"
"HLX" "3142"
"BMP8A" "353500"
"TCHHL1" "126637"
"LINC01699" "100287948"
"WRAP73" "49856"
"CASZ1" "54897"
"PROX1" "5629"
"MIR9-1" "407046"
"C1orf87" "127795"
"TMEM269" "100129924"
"LINC01761" "440594"
"OR10J5" "127385"
"NCSTN" "23385"
"DENND2D" "79961"
"RGSL1" "353299"
"ACOT7" "11332"
"PBX1" "5087"
"ST6GALNAC5" "81849"
